จำนวนประชากรกลางปี จำแนกตามเพศ ภาค และจังหวัด (จากกระทรวงสาธารณสุข) พ.ศ. 2555-2566 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หน่วย: คน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2555,,,2556,,,2557,,,2558,,,2559,,,2560,,,2561,,,2562,,,2563,,,2564,,,2565,,,2566,,
ภาค,จังหวัด,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง
,สระบุรี,"623,071","308,417","314,654","627,452","310,611","316,841","631,339","312,330","319,009","632,558","312,598","319,960","632,798","312,329","320,469","634,867","312,978","321,889","637,223","313,991","323,232","639,063","314,812","324,251","638,440","313,987","324,453","637,464","312,969","324,495","636,984","312,446","326,078","636,554","312,011","324,543"
,ชลบุรี,"1,351,329","662,640","688,689","1,377,178","675,072","702,106","1,405,889","688,718","717,171","1,431,104","700,223","730,881","1,454,059","711,032","743,027","1,479,401","723,098","756,303","1,503,563","734,335","769,228","1,526,707","745,040","781,667","1,541,622","750,623","790,999","1,553,561","755,322","798,239","1,566,895","761,521","267,819","1,583,600","768,918","814,682"
,ระยอง,"643,506","317,131","326,375","655,248","322,752","332,496","667,807","328,944","338,863","679,397","334,471","344,926","689,673","338,986","350,687","700,069","343,793","356,276","710,811","348,945","361,866","721,929","354,243","367,686","730,762","358,413","372,349","738,941","362,278","376,663","747,735","366,518","369,212","757,570","370,992","386,578"
,จันทบุรี,"519,333","255,603","263,730","523,036","257,237","265,799","525,805","258,412","267,393","528,034","259,215","268,819","529,331","259,582","269,749","530,815","260,126","270,689","532,526","260,753","271,773","533,806","261,355","272,451","533,124","260,937","272,187","532,365","260,234","272,131","532,375","260,011","272,651","532,002","259,638","272,364"
,ตราด,"222,434","111,018","111,416","223,433","111,507","111,926","224,370","111,917","112,453","221,824","110,565","111,259","218,923","109,032","109,891","219,253","109,078","110,175","219,819","109,184","110,635","220,344","109,257","111,087","219,819","108,835","110,984","218,893","108,244","110,649","218,424","107,944","409,752","217,780","107,546","110,234"
,ฉะเชิงเทรา,"682,545","334,567","347,978","687,973","337,054","350,919","692,852","339,545","353,307","696,837","341,673","355,164","699,802","342,986","356,816","703,968","344,905","359,063","708,894","347,475","361,419","713,754","350,039","363,715","716,498","351,361","365,137","718,455","352,066","366,389","721,389","353,207","945,678","724,554","354,498","370,056"
,ปราจีนบุรี,"471,711","233,827","237,884","474,969","235,386","239,583","477,740","236,623","241,117","480,455","237,812","242,643","482,887","238,973","243,914","485,493","240,260","245,233","488,790","242,003","246,787","492,268","243,907","248,361","493,241","244,067","249,174","493,492","243,755","249,737","495,456","244,636","1,292,363","497,485","245,505","251,980"
,นครนายก,"254,502","125,991","128,511","255,629","126,594","129,035","256,692","127,170","129,522","257,611","127,635","129,976","257,757","127,561","130,196","258,019","127,549","130,470","258,673","127,851","130,822","259,134","128,131","131,003","259,034","128,095","130,939","258,860","127,989","130,871","259,001","128,055","972,899","258,853","127,909","130,944"
,สระแก้ว,"546,969","274,929","272,040","549,640","276,199","273,441","551,562","277,128","274,434","553,126","277,813","275,313","555,053","278,559","276,494","557,374","279,535","277,839","559,641","280,535","279,106","561,527","281,377","280,150","559,690","280,048","279,642","557,253","278,509","278,744","557,889","278,972","1,144,634","558,074","279,021","279,053"
,ราชบุรี,"844,658","411,985","432,673","848,397","413,737","434,660","851,690","415,147","436,543","848,773","413,162","435,611","845,105","411,004","434,101","846,329","411,613","434,716","847,350","412,134","435,216","847,599","412,171","435,428","845,147","410,344","434,803","842,393","408,278","434,115","840,438","406,907","715,169","838,438","405,408","433,030"
,กาญจนบุรี,"838,591","421,124","417,467","840,575","421,454","419,121","845,540","423,787","421,753","827,932","414,756","413,176","808,669","404,831","403,838","810,876","405,750","405,126","815,178","407,843","407,335","819,704","410,158","409,546","817,994","408,983","409,011","815,685","407,164","408,521","816,658","407,128","348,576","816,650","406,591","410,059"
,สุพรรณบุรี,"846,181","410,127","436,054","847,687","410,668","437,019","848,559","410,906","437,653","848,401","410,642","437,759","847,132","409,845","437,287","848,136","410,175","437,961","847,992","409,865","438,127","845,012","408,148","436,864","839,953","405,354","434,599","834,480","402,402","432,078","830,485","400,243","430,242","825,933","397,771","428,162"
