PROV_T,NUMERATOR_PROV,DENOMINATOR_PROV,RESULT_PROV,COUNT,YEAR
อำนาจเจริญ,6,227,2.64,6,2563
มุกดาหาร,11,324,3.4,11,2563
นครศรีธรรมราช,140,2403,5.83,140,2563
กระบี่,22,589,3.74,22,2563
พังงา,16,348,4.6,16,2563
ภูเก็ต,11,256,4.3,11,2563
สุราษฎร์ธานี,43,1304,3.3,43,2563
ระนอง,11,280,3.93,11,2563
ชุมพร,35,744,4.7,35,2563
สงขลา,64,1519,4.21,64,2563
สตูล,6,386,1.55,6,2563
ตรัง,26,1026,2.53,26,2563
พัทลุง,34,735,4.63,34,2563
ปัตตานี,24,778,3.08,24,2563
ยะลา,22,706,3.12,22,2563
นราธิวาส,38,983,3.87,38,2563
กรุงเทพฯ,192,1705,11.26,192,2563
