id,region,province,sex,value,year
107,ตะวันออกเฉียงเหนือ,นครพนม,ชาย,352704,2555
108,ตะวันออกเฉียงเหนือ,มุกดาหาร,ชาย,171381,2555
109,ตะวันออกเฉียงเหนือ,นครราชสีมา,หญิง,1311000,2555
110,ตะวันออกเฉียงเหนือ,บุรีรัมย์,หญิง,782958,2555
111,ตะวันออกเฉียงเหนือ,สุรินทร์,หญิง,691305,2555
112,ตะวันออกเฉียงเหนือ,ศรีสะเกษ,หญิง,727602,2555
113,ตะวันออกเฉียงเหนือ,อุบลราชธานี,หญิง,907636,2555
114,ตะวันออกเฉียงเหนือ,ยโสธร,หญิง,268920,2555
115,ตะวันออกเฉียงเหนือ,ชัยภูมิ,หญิง,568231,2555
116,ตะวันออกเฉียงเหนือ,อำนาจเจริญ,หญิง,186114,2555
117,ตะวันออกเฉียงเหนือ,บึงกาฬ,หญิง,203334,2555
118,ตะวันออกเฉียงเหนือ,หนองบัวลำภู,หญิง,250688,2555
119,ตะวันออกเฉียงเหนือ,ขอนแก่น,หญิง,893255,2555
120,ตะวันออกเฉียงเหนือ,อุดรธานี,หญิง,777633,2555
121,ตะวันออกเฉียงเหนือ,เลย,หญิง,310666,2555
122,ตะวันออกเฉียงเหนือ,หนองคาย,หญิง,255341,2555
123,ตะวันออกเฉียงเหนือ,มหาสารคาม,หญิง,475793,2555
124,ตะวันออกเฉียงเหนือ,ร้อยเอ็ด,หญิง,655038,2555
125,ตะวันออกเฉียงเหนือ,กาฬสินธุ์,หญิง,493520,2555
126,ตะวันออกเฉียงเหนือ,สกลนคร,หญิง,563388,2555
127,ตะวันออกเฉียงเหนือ,นครพนม,หญิง,353855,2555
128,ตะวันออกเฉียงเหนือ,มุกดาหาร,หญิง,170344,2555
129,ใต้,นครศรีธรรมราช,ชาย,759073,2555
130,ใต้,กระบี่,ชาย,220307,2555
131,ใต้,พังงา,ชาย,128262,2555
132,ใต้,ภูเก็ต,ชาย,169068,2555
133,ใต้,สุราษฎร์ธานี,ชาย,502838,2555
134,ใต้,ระนอง,ชาย,94738,2555
135,ใต้,ชุมพร,ชาย,245257,2555
136,ใต้,สงขลา,ชาย,670012,2555
137,ใต้,สตูล,ชาย,151370,2555
138,ใต้,ตรัง,ชาย,308575,2555
139,ใต้,พัทลุง,ชาย,250965,2555
140,ใต้,ปัตตานี,ชาย,329870,2555
141,ใต้,ยะลา,ชาย,246670,2555
142,ใต้,นราธิวาส,ชาย,372679,2555
143,ใต้,นครศรีธรรมราช,หญิง,771406,2555
144,ใต้,กระบี่,หญิง,221196,2555
145,ใต้,พังงา,หญิง,127950,2555
146,ใต้,ภูเก็ต,หญิง,188308,2555
147,ใต้,สุราษฎร์ธานี,หญิง,514838,2555
148,ใต้,ระนอง,หญิง,88510,2555
149,ใต้,ชุมพร,หญิง,248489,2555
150,ใต้,สงขลา,หญิง,702780,2555
151,ใต้,สตูล,หญิง,152304,2555
152,ใต้,ตรัง,หญิง,320739,2555
153,ใต้,พัทลุง,หญิง,261812,2555
154,ใต้,ปัตตานี,หญิง,337680,2555
155,ใต้,ยะลา,หญิง,250620,2555
156,ใต้,นราธิวาส,หญิง,379705,2555
157,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ชาย,31773349,2556
158,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,หญิง,32847953,2556
159,กรุงเทพมหานคร,กรุงเทพมหานคร,ชาย,2692838,2556
160,กรุงเทพมหานคร,กรุงเทพมหานคร,หญิง,2987068,2556
161,กลาง,สมุทรปราการ,ชาย,592860,2556
162,กลาง,นนทบุรี,ชาย,538954,2556
163,กลาง,ปทุมธานี,ชาย,495867,2556
164,กลาง,พระนครศรีอยุธยา,ชาย,383927,2556
165,กลาง,อ่างทอง,ชาย,136219,2556
166,กลาง,ลพบุรี,ชาย,380464,2556
167,กลาง,สิงห์บุรี,ชาย,101564,2556
168,กลาง,ชัยนาท,ชาย,160656,2556
169,กลาง,สระบุรี,ชาย,310611,2556
170,กลาง,ชลบุรี,ชาย,675072,2556
171,กลาง,ระยอง,ชาย,322752,2556
172,กลาง,จันทบุรี,ชาย,257237,2556
173,กลาง,ตราด,ชาย,111507,2556
174,กลาง,ฉะเชิงเทรา,ชาย,337054,2556
175,กลาง,ปราจีนบุรี,ชาย,235386,2556
176,กลาง,นครนายก,ชาย,126594,2556
177,กลาง,สระแก้ว,ชาย,276199,2556
178,กลาง,ราชบุรี,ชาย,413737,2556
